DOC Start at : Sun Feb 14 11:08:44 2021

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319034 11:10:34        7      24     143     122     128     142      87      10     256     203      62     309     344     161       93    192    285   143 1590    344 1914    487   3
P3 1613319035 11:10:35       31     136      43      17       5     102      33      20      34      30      31      35       9      94       52     36     88   136 1586     94 1917    230   2
P3 1613319036 11:10:36      125     194     103       1      39       1      31      84       5      42      31     182      80      37       70     65    135   194 1586    182 1911    376   2
P3 1613319037 11:10:37       29      54      10      60      57      36      71      48      26      56      18      33       4      25       45     30     75    71 1602     56 1905    127   3
P3 1613319038 11:10:38        3      24      20      66      15      67     214     217      84      19      82     120     205     160       58    126    184   214 1602    217 1898    431   2
P3 1613319039 11:10:39      218       7      53      55      22     115     146     444      47     197     298     272       1      50       88    187    275   218 1584    444 1898    662   4
P3 1613319040 11:10:40      263     145       8      17      15     154     163     776     432     113      72       1     406     932      109    390    499   263 1584    932 1917   1195   3

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319041 11:10:41       35      31     122     362     231     116      33    1342   13772    6791   10624   22573   12238     579      132   9702   9834   362 1592  22573 1911  22935   2
P3 1613319042 11:10:42       75      38      79     103       3     228     302    2167    1840     131    2267    2252       5    2703      118   1623   1741   302 1602   2703 1917   3005   4
P3 1613319043 11:10:43       19       6       1      24      89      81     114    2037     128     814    1596     654    1089    6360       47   1811   1858   114 1602   6360 1917   6474   3
P3 1613319044 11:10:44       22      78      92      47     109     187     373      90     604    1757    2401    2588    2228    4383      129   2007   2136   373 1602   4383 1917   4756   3
P3 1613319045 11:10:45       43      80     179     270     474     226      28      40       5       5      92     223     168      32      185     80    265   474 1596    223 1911    697   3
P3 1613319046 11:10:46       26       9      90      68      30       2       1      93      52      52      22      15       8      56       32     42     74    90 1590     93 1898    183   3
